College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  99  Southern California     =  78.19   16  13   75.96(  85)    1   0  |    2   3  |   77.54  101 |   78.51   91
 100  Penn State              =  78.15   15  14   77.14(  66)    1   3  |    2   8  |   80.25   69 |   76.01  123
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 101  Northwestern            =  78.15   13  15   78.84(  27)    0   4  |    1   6  |   79.70   78 |   76.42  116
 102  Ohio U.                 =  78.11   18  11   73.55( 148)    0   0  |    0   1  |   78.14   94 |   77.74  100
 103  UTEP                    =  78.08   18   9   72.59( 179)    0   1  |    0   3  |   77.90   97 |   77.92   97
 104  Georgia Tech            =  78.05   11  17   78.46(  33)    0   2  |    2   6  |   76.43  114 |   79.50   82
 105  Louisiana Tech          =  77.86   19  12   75.51(  91)    0   1  |    0   3  |   78.90   87 |   76.56  114
 106  Mississippi State       =  77.64   15  15   77.22(  64)    0   1  |    1   5  |   77.75   98 |   77.19  105
 107  Hawaii                  =  77.63   17  11   74.26( 119)    0   0  |    2   1  |   77.66   99 |   77.26  104
 108  Northeastern            =  77.60   18  11   73.43( 154)    0   0  |    0   0  |   77.09  110 |   77.77   98
 109  Saint Louis             =  77.41   16  13   75.70(  90)    0   1  |    0   4  |   77.91   96 |   76.58  113
 110  Auburn                  =  76.94   12  16   78.78(  28)    0   1  |    0   7  |   76.87  112 |   76.66  112
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 111  St. John's              =  76.87   12  15   78.20(  38)    0   3  |    1   7  |   77.42  104 |   76.00  124
 112  La Salle                =  76.83   18  10   73.29( 157)    0   1  |    0   2  |   77.57  100 |   75.79  127
 113  Va. Commonwealth        =  76.82   19  10   72.55( 181)    0   0  |    0   0  |   77.39  105 |   75.94  125
 114  Marist                  =  76.80   19  10   72.75( 175)    0   0  |    0   0  |   76.90  111 |   76.35  117
 115  New Mexico              =  76.46   17  13   74.15( 122)    0   0  |    0   1  |   75.79  121 |   76.81  108
 116  Washington State        =  76.45   11  17   77.59(  53)    0   0  |    2   3  |   74.18  143 |   78.65   90
 117  Saint Mary's-Cal.       =  76.34   16  12   74.28( 118)    0   0  |    1   2  |   76.14  117 |   76.21  119
 118  Massachusetts           =  76.28   13  15   76.05(  81)    0   1  |    0   4  |   75.46  128 |   76.79  109
 119  Manhattan               =  76.02   18  10   73.57( 147)    0   0  |    0   1  |   77.22  107 |   74.56  135
 120  New Mexico State        =  75.96   15  14   75.83(  88)    0   0  |    0   4  |   76.31  115 |   75.27  129
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 121  Toledo                  =  75.95   19  11   71.35( 201)    0   0  |    0   0  |   75.49  126 |   76.08  121
 122  Oral Roberts         $  =  75.94   20  11   70.65( 232)    0   0  |    0   1  |   74.53  140 |   77.09  106
